player_name,p_throws,games,hits_total,pa_total,bb_total,rbi_total,hit_rate_per_pa,bb_rate_per_pa,rbi_rate_per_pa,avg_pa_game,prob_hit_game,prob_bb_game,prob_rbi_game,odds_over_hit,odds_under_hit,p_over_hit,p_under_hit,value_hit_over,value_hit_under,odds_over_bb,odds_under_bb,p_over_bb,p_under_bb,value_bb_over,value_bb_under,odds_over_rbi,odds_under_rbi,p_over_rbi,p_under_rbi,value_rbi_over,value_rbi_under
Enrique Hernandez,L,61,19,100,10,22,0.19,0.1,0.22,1.639344262295082,0.2920942485936916,0.15862864833278978,0.3345645920395294,1.68,1.74,0.5952380952380952,0.5747126436781609,False,True,2.1,1.71,0.47619047619047616,0.5847953216374269,False,True,2.4,1.52,0.4166666666666667,0.6578947368421053,False,True
Enrique Hernandez,R,69,29,143,9,14,0.20279720279720279,0.06293706293706294,0.0979020979020979,2.072463768115942,0.3748202059268233,0.1260395495640515,0.19227252043852205,1.68,1.74,0.5952380952380952,0.5747126436781609,False,True,2.1,1.71,0.47619047619047616,0.5847953216374269,False,True,2.4,1.52,0.4166666666666667,0.6578947368421053,False,True
Esteury Ruiz,L,10,3,17,1,2,0.17647058823529413,0.058823529411764705,0.11764705882352941,1.7,0.28112315651559916,0.09792882774014622,0.19166390114597975,1.95,1.58,0.5128205128205129,0.6329113924050632,False,True,2.65,1.38,0.37735849056603776,0.7246376811594204,False,True,2.8,1.28,0.35714285714285715,0.78125,False,True
Esteury Ruiz,R,3,1,4,1,0,0.25,0.25,0.0,1.3333333333333333,0.31857977768794765,0.31857977768794765,0.0,1.95,1.58,0.5128205128205129,0.6329113924050632,False,True,2.65,1.38,0.37735849056603776,0.7246376811594204,False,False,2.8,1.28,0.35714285714285715,0.78125,False,True
Freddie Freeman,L,97,45,162,13,19,0.2777777777777778,0.08024691358024691,0.11728395061728394,1.6701030927835052,0.41928138874454735,0.13038454659100973,0.18807573128931676,1.27,1.88,0.7874015748031495,0.5319148936170213,False,True,1.76,1.9,0.5681818181818182,0.5263157894736842,False,True,2.15,1.74,0.46511627906976744,0.5747126436781609,False,True
Freddie Freeman,R,142,119,408,40,75,0.2916666666666667,0.09803921568627451,0.18382352941176472,2.8732394366197185,0.6287238986078825,0.25656431272418967,0.442128067079231,1.27,1.88,0.7874015748031495,0.5319148936170213,False,False,1.76,1.9,0.5681818181818182,0.5263157894736842,False,True,2.15,1.74,0.46511627906976744,0.5747126436781609,False,False
Hyeseong Kim,L,18,8,21,0,3,0.38095238095238093,0.0,0.14285714285714285,1.1666666666666667,0.4285063614596414,0.0,0.164598189585494,1.9,1.7,0.5263157894736842,0.5882352941176471,False,False,2.6,1.43,0.3846153846153846,0.6993006993006994,False,True,2.3,1.55,0.4347826086956522,0.6451612903225806,False,True
Hyeseong Kim,R,56,37,141,7,14,0.2624113475177305,0.04964539007092199,0.09929078014184398,2.517857142857143,0.5352973957017167,0.12033094261624555,0.23148821518809626,1.9,1.7,0.5263157894736842,0.5882352941176471,True,False,2.6,1.43,0.3846153846153846,0.6993006993006994,False,True,2.3,1.55,0.4347826086956522,0.6451612903225806,False,True
Justin Dean,R,2,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.83,1.66,0.5464480874316939,0.6024096385542169,False,True,2.5,1.5,0.4,0.6666666666666666,False,True,2.7,1.33,0.37037037037037035,0.7518796992481203,False,True
Max Muncy,L,52,12,73,7,10,0.1643835616438356,0.0958904109589041,0.136986301369863,1.4038461538461537,0.2228411594561721,0.1319572280988287,0.1868349968946157,1.4,1.78,0.7142857142857143,0.5617977528089888,False,True,1.9,1.83,0.5263157894736842,0.5464480874316939,False,True,2.1,1.68,0.47619047619047616,0.5952380952380952,False,True
