batter,pitch_name,num_turns,total_hits,avg_batting,total_strikeouts,avg_strikeouts,avg_balls,avg_strikes,avg_speed,min_speed,max_speed,std_speed
Dalton Rushing,Cutter,31,2,0.06451612903225806,3,0.0967741935483871,1.6451612903225807,1.4193548387096775,89.7521505376344,82.3,94.8,2.4917929805793464
Dalton Rushing,Eephus,1,0,0.0,0,0.0,0.0,0.0,44.3,44.3,44.3,
Dalton Rushing,Knuckle Curve,10,1,0.1,1,0.1,1.2,1.5,82.8725,77.55000000000001,88.1,3.6331507981670943
Dalton Rushing,Other,3,2,0.6666666666666666,0,0.0,1.0,0.0,68.03333333333333,61.0,73.3,6.337454799312833
Dalton Rushing,Sinker,62,7,0.11290322580645161,7,0.11290322580645161,1.6451612903225807,1.3387096774193548,93.36618279569893,87.4,98.8,2.674597826313793
Dalton Rushing,Slider,59,4,0.06779661016949153,9,0.15254237288135594,1.2203389830508475,1.3559322033898304,86.01581920903955,78.5,90.8,2.953124236469425
Dalton Rushing,Slow Curve,1,0,0.0,0,0.0,1.0,0.0,70.4,70.4,70.4,
Dalton Rushing,Slurve,3,1,0.3333333333333333,0,0.0,0.6666666666666666,0.6666666666666666,80.83333333333333,79.4,81.8,1.2662279942148318
Dalton Rushing,Split-Finger,10,0,0.0,1,0.1,1.2,1.5,88.77666666666667,81.6,99.1,7.098322702243479
Dalton Rushing,Sweeper,15,0,0.0,2,0.13333333333333333,1.1333333333333333,1.2666666666666666,82.22555555555554,78.85,86.5,2.2950763955423485
Enrique Hernandez,4-Seam Fastball,153,10,0.06535947712418301,19,0.12418300653594772,1.7189542483660132,1.5947712418300655,94.04674291938998,88.0,100.0,2.3450352584341503
Enrique Hernandez,Changeup,68,9,0.1323529411764706,8,0.11764705882352941,1.4264705882352942,1.8088235294117647,85.88039215686274,74.4,92.13333333333333,4.006176503299955
Enrique Hernandez,Curveball,56,1,0.017857142857142856,7,0.125,0.9821428571428571,1.6964285714285714,80.08738095238095,71.6,86.26,3.834086920092257
Enrique Hernandez,Cutter,42,6,0.14285714285714285,2,0.047619047619047616,1.3333333333333333,0.9523809523809523,89.42857142857143,81.7,99.2,3.9571199008126694
Enrique Hernandez,Eephus,2,0,0.0,0,0.0,1.5,0.0,44.3,41.8,46.8,3.5355339059327378
Enrique Hernandez,Knuckle Curve,15,1,0.06666666666666667,2,0.13333333333333333,0.8666666666666667,1.8666666666666667,83.29333333333334,76.4,88.8,3.2644659739746227
Enrique Hernandez,Other,6,2,0.3333333333333333,0,0.0,1.8333333333333333,0.16666666666666666,68.90833333333333,61.4,80.5,8.420713548546027
Enrique Hernandez,Sinker,110,7,0.06363636363636363,8,0.07272727272727272,1.3818181818181818,1.1636363636363636,93.59765151515151,84.4,97.5,2.630156730866481
Enrique Hernandez,Slider,126,8,0.06349206349206349,12,0.09523809523809523,1.3650793650793651,1.6428571428571428,86.03134920634922,77.3,93.9,2.8134718426747765
Enrique Hernandez,Slurve,1,0,0.0,0,0.0,1.0,1.0,80.15,80.15,80.15,
Enrique Hernandez,Split-Finger,22,0,0.0,5,0.22727272727272727,0.9545454545454546,1.5454545454545454,84.91818181818182,78.55000000000001,91.7,4.089986187383401
Enrique Hernandez,Sweeper,54,4,0.07407407407407407,6,0.1111111111111111,1.2777777777777777,1.5185185185185186,83.41280864197532,69.6,88.0,3.004683936469697
Esteury Ruiz,4-Seam Fastball,13,0,0.0,0,0.0,1.2307692307692308,1.3846153846153846,93.81089743589745,90.3,98.06666666666666,2.337752225982359
Esteury Ruiz,Changeup,9,2,0.2222222222222222,1,0.1111111111111111,0.6666666666666666,1.4444444444444444,84.21666666666667,78.8,87.1,3.189043743820391
Esteury Ruiz,Curveball,4,1,0.25,1,0.25,1.25,1.75,81.775,79.9,84.3,2.0998015779274595
Esteury Ruiz,Cutter,4,0,0.0,0,0.0,0.75,0.25,89.275,87.9,90.6,1.2065791865158833
